Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D1_S1-A9_1_22178.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D1_S1-A10_1_22179.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D2_S1-A11_1_22180.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D2_S1-A12_1_22181.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D3_S1-B1_1_22182.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D3_S1-B2_1_22183.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D4_S1-B3_1_22184.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D4_S1-B4_1_22185.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L1_S1-B1_1_22186.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L1_S1-B2_1_22187.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L2_S1-B3_1_22188.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L2_S1-B4_1_22189.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L3_S1-A5_1_22174.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L3_S1-A6_1_22175.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L4_S1-A7_1_22176.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L4_S1-A8_1_22177.d
A0A068F9P7	A0A068F9P7_DANRE	b3glcta		66058.6	63115.2	60600.9	61961	73466.2	76283.9	57018	58739.2	59932.3	55255.9	49324.7	54090.8	59459	58904.8	45659	39520
A0A096X8J7	B3A3_DANRE	Slc4a3		30865	33572.3	29021.5	31350.5	30256.7	32407	30333.7	31168.7	26234.3	28578	29798.4	24698.3	30576.7	31745.1	26602.2	25922.9
A0A097	A0A097_DANRE	tmsb1		372740	379520	314114	291720	293217	298163	273409	279159	270442	252070	337840	318041	290621	293179	454120	474058
A0A0A0MPL5	A0A0A0MPL5_DANRE	fscn1b		66164.8	64684.4	62004	63152.9	63990	61135	64369.8	70599.8	71650.4	71356.8	60569.3	58124.9	55128.7	59052.3	76082.5	79076.5
A0A0B4J1A5	A0A0B4J1A5_DANRE	ewsr1a		213692	218956	206326	221131	228422	218890	233116	231110	176095	215033	240806	240304	243977	252045	204427	208903
A0A0F7C9F3	A0A0F7C9F3_DANRE	iqgap1		37157.7	39843.2	42630.3	44491.9	35356.6	34876.2	27543.5	30727.1	32042.5	26734.1	38822.1	38996.9	30937.7	30924.8	45254.2	51778.3
A0A0G2KDN7	A0A0G2KDN7_DANRE	csdc2b		13873	15635.6	8168.2	7603.62	9236.66	9668.75	8548.12	8244.09	20004.8	22083.5	11699.2	11782	10948.4	11215.5	14118.9	11524.4
A0A0G2KHE4	A0A0G2KHE4_DANRE	cnnm4a		7866.95	10422.6	5767.25	6315.67	9637.02	8156	9930.42	10721.2	5194.92	1903.04			16856.3	16645.2	3753.2	6108.2
A0A0G2KHZ9	A0A0G2KHZ9_DANRE	tlcd3a		51930	69332.5	94234.9	107876	87248.1	112858	70206.2	77757.5	95158.1	120137	55497	55692	49421.1	46350.9	135873	150268
A0A0G2KLD8	A0A0G2KLD8_DANRE	bphl		7460.42	8371.21	9023.83	9597.48	10150.3	11471.9	9201.71	11850.3	11217.8	11778.5	10946.4	10823	13429.9	11069.7	13302.8	16063.7
A0A0G2KLM8	A0A0G2KLM8_DANRE	znf1117		31588.2	24508.9	37497.4	43536.8	37267.4	35137.2	40623.1	38839.8	45452.9		48457.4	49104	28640.2	40069.4	28670.4	28243
A0A0G2KLU8	A0A0G2KLU8_DANRE	slc25a29		61625.6	58171.8	43327.7	40452.5	66538.9	62497.4	50767.1	54185	60589.7	49567.1	61475.8	49769.7	56338.2	57154.2	38592.5	36041.6
A0A0G2KQ62	A0A0G2KQ62_DANRE	fbn2b		35594.9	37992.1	29530	32472.2	51910.5	54634.4	37102	37885.4	40418.2	36680.2	41729.7	42446.7	26478	24879.6	50952.2	57091.9
A0A0G2KQC0	A0A0G2KQC0_DANRE	nectin3a			15389.2	24451.1	27869.3	24184.4	28799	26426.8	18608.5	25903		17604.9	16625.7	13112.2	11130.3	23212.6	26233
